collection_no,source_database,collection.authorizer,class_name,order_name,family_name,occurrence.genus_reso,occurrence.genus_name,occurrence.species_reso,occurrence.species_name,original.genus_reso,original.genus_name,original.species_reso,original.species_name,collection.reference_no,pubyr,collection_name,country,state,latdec,lngdec,paleolatdec,paleolngdec,stage,10_my_bin,FR2_bin,formation,member
14546,Fossilworks,"J. Alroy",,,Urodela,,Scapherpeton,,tectum,,,,,960,1982,"Flat Creek 1","United States",Montana,47.5167,-106.4,54.17,-79.46,Maastrichtian,"Cretaceous 8",Maastrichtian,"Hell Creek",
14546,Fossilworks,"J. Alroy",,,Batrachosauroididae,,Opisthotriton,,kayi,,,,,960,1982,"Flat Creek 1","United States",Montana,47.5167,-106.4,54.17,-79.46,Maastrichtian,"Cretaceous 8",Maastrichtian,"Hell Creek",
14548,Fossilworks,"J. Alroy",,,Urodela,,Scapherpeton,,tectum,,,,,960,1982,"Flat Creek 3","United States",Montana,47.5167,-106.4167,54.18,-79.48,Maastrichtian,"Cretaceous 8",Maastrichtian,"Hell Creek",
14549,Fossilworks,"J. Alroy",,,Urodela,,Lisserpeton,,bairdi,,,,,960,1982,"Flat Creek 5","United States",Montana,47.5167,-106.4,54.17,-79.46,Maastrichtian,"Cretaceous 8",Maastrichtian,"Hell Creek",
14549,Fossilworks,"J. Alroy",,,Batrachosauroididae,,Opisthotriton,,kayi,,,,,960,1982,"Flat Creek 5","United States",Montana,47.5167,-106.4,54.17,-79.46,Maastrichtian,"Cretaceous 8",Maastrichtian,"Hell Creek",
14549,Fossilworks,"J. Alroy",,,Urodela,,Habrosaurus,,sp.,,,,,960,1982,"Flat Creek 5","United States",Montana,47.5167,-106.4,54.17,-79.46,Maastrichtian,"Cretaceous 8",Maastrichtian,"Hell Creek",
14549,Fossilworks,"J. Alroy",,,Urodela,,Scapherpeton,,tectum,,,,,960,1982,"Flat Creek 5","United States",Montana,47.5167,-106.4,54.17,-79.46,Maastrichtian,"Cretaceous 8",Maastrichtian,"Hell Creek",
14549,Fossilworks,"J. Alroy",,,Urodela,,Habrosaurus,,dilatus,,,,,960,1982,"Flat Creek 5","United States",Montana,47.5167,-106.4,54.17,-79.46,Maastrichtian,"Cretaceous 8",Maastrichtian,"Hell Creek",
14552,Fossilworks,"J. Alroy",,,Urodela,,Scapherpeton,,tectum,,,,,960,1982,"Fred Fitch Ranch","United States",Montana,47.6,-107,54.37,-80.08,Maastrichtian,"Cretaceous 8",Maastrichtian,"Hell Creek",
14555,Fossilworks,"J. Alroy",,,Urodela,,Scapherpeton,,sp.,,,,,3313,1993,"Glen McPherson",Canada,Saskatchewan,49.4,-107.4,56.17,-79.60,Maastrichtian,"Cretaceous 8",Maastrichtian,Ravenscrag,
14555,Fossilworks,"J. Alroy",,,Urodela,,Lisserpeton,,sp.,,,,,3313,1993,"Glen McPherson",Canada,Saskatchewan,49.4,-107.4,56.17,-79.60,Maastrichtian,"Cretaceous 8",Maastrichtian,Ravenscrag,
14557,Fossilworks,"J. Alroy",,,Batrachosauroididae,,Opisthotriton,,kayi,,,,,774,1986,"Greasewood Creek","United States",Wyoming,43.300000,-104.366667,49.72,-79.15,Maastrichtian,"Cretaceous 8",Maastrichtian,Lance,
14557,Fossilworks,"J. Alroy",,,Urodela,,Scapherpeton,,tectum,,,,,774,1986,"Greasewood Creek","United States",Wyoming,43.300000,-104.366667,49.72,-79.15,Maastrichtian,"Cretaceous 8",Maastrichtian,Lance,
14557,Fossilworks,"J. Alroy",,,Urodela,,Habrosaurus,,dilatus,,,,,774,1986,"Greasewood Creek","United States",Wyoming,43.300000,-104.366667,49.72,-79.15,Maastrichtian,"Cretaceous 8",Maastrichtian,Lance,
14559,Fossilworks,"J. Alroy",,,Urodela,,Scapherpeton,,tectum,,,,,960,1982,Gynnoskus,"United States",Montana,47.5833,-106.3,54.22,-79.32,Maastrichtian,"Cretaceous 8",Maastrichtian,"Hell Creek",
14560,Fossilworks,"J. Alroy",,,Urodela,,Scapherpeton,,sp.,,,,,960,1982,Haley,"United States",Montana,47.5500,-107.25,54.37,-80.39,Maastrichtian,"Cretaceous 8",Maastrichtian,"Hell Creek",
14560,Fossilworks,"J. Alroy",,,Batrachosauroididae,,Opisthotriton,,sp.,,,,,960,1982,Haley,"United States",Montana,47.5500,-107.25,54.37,-80.39,Maastrichtian,"Cretaceous 8",Maastrichtian,"Hell Creek",
14563,Fossilworks,"J. Alroy",,,Urodela,,Scapherpeton,,tectum,,,,,960,1982,"Harmonica Hollow","United States",Montana,47.6000,-106.4333,54.26,-79.46,Maastrichtian,"Cretaceous 8",Maastrichtian,"Hell Creek",
14566,Fossilworks,"J. Alroy",,,Urodela,,Habrosaurus,,dilatus,,,,,14177,1915,"Hatcher No. 2 (UCMP V-5815)","United States",Wyoming,43.128947,-104.494713,49.59,-79.36,Maastrichtian,"Cretaceous 8",Maastrichtian,Lance,
